"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx"
160042,"6063","med","low",450,400,"no","L27","no",5,2.06909308975832
160043,"7068","med","high",525,350,"no","MasterAlloys","no",2,2.03697492616264
160044,"2024-X","high","high",525,400,"no","Argon-Industries","no",2,1.99389220710173
160045,"6063","high","low",600,450,"no","L27","no",2,1.91681529520584
160046,"7075-T6","high","low",500,475,"no","L27","no",2,1.93574999950463
160047,"6063","high","low",575,350,"no","Argon-Industries","no",5,1.90221291317795
160048,"6061","med","low",575,450,"no","Argon-Industries","no",1,2.09545380038719
160049,"6063","low","low",575,300,"no","Argon-Industries","no",2,1.85957812284382
160050,"2224","high","high",525,400,"no","Argon-Industries","no",2,2.07439089565821
160051,"2024-T3","med","med",450,375,"no","L27","no",4,1.96871660288138
160052,"2224","med","low",475,300,"no","L27","no",2,1.81149649567472
160053,"2024-T3","high","high",450,300,"no","Argon-Industries","no",2,1.92669407666604
160054,"7075-T6","high","low",575,400,"no","MasterAlloys","no",2,1.91538107182372
160055,"7068","med","low",475,400,"no","L27","no",2,1.92850290772492
160056,"7068","med","high",400,475,"no","Argon-Industries","no",2,1.68915564533883
160057,"2224","high","high",475,450,"uncertain","Argon-Industries","no",2,1.94973933255842
160058,"5052","low","high",475,325,"no","MasterAlloys","no",5,1.8004926941126
160059,"7475","med","med",575,300,"no","L27","no",2,1.99943094861602
160060,"7055","med","high",475,475,"yes","Argon-Industries","no",2,1.88518093782175
160061,"2224","high","high",575,350,"no","L27","no",2,1.85463419007393
160062,"7075-T6","med","med",600,350,"no","Argon-Industries","no",3,1.93665985858988
160063,"2324","high","med",525,425,"uncertain","Argon-Industries","no",2,1.97837837257076
160064,"6061","high","low",550,325,"uncertain","MasterAlloys","no",5,2.24553285732661
160065,"7068","high","med",600,425,"no","Argon-Industries","no",2,1.87548843134051
160066,"7075-T6","med","low",500,500,"yes","Argon-Industries","no",5,1.83069227579976
160067,"5052","high","low",425,425,"no","Argon-Industries","no",2,1.88219329183393
160068,"2224","high","high",450,475,"no","L27","no",2,2.05764801589913
160069,"2024-T3","high","high",525,475,"no","L27","no",5,2.11844830396916
160070,"6061","low","low",525,450,"yes","L27","yes",2,1.74349355187718
160071,"5052","high","high",500,375,"no","MasterAlloys","no",2,2.06131494620164
160072,"7475","low","med",400,500,"no","MasterAlloys","no",2,2.16211600600621
160073,"2024-T3","med","high",400,500,"no","Argon-Industries","no",5,2.03296685509546
160074,"7075-T6","low","med",475,375,"uncertain","L27","no",2,1.58764218241144
160075,"6061","med","med",600,325,"no","L27","no",5,1.7799014261869
160076,"5052","high","med",550,425,"uncertain","MasterAlloys","no",1,1.75698465204739
160077,"7475","med","low",500,350,"no","Argon-Industries","no",5,1.78559800315017
160078,"2324","med","med",525,375,"no","L27","no",4,1.72516796727384
160079,"2024-T3","low","low",475,325,"yes","MasterAlloys","no",2,1.97652889402295
160080,"7068","high","low",425,450,"uncertain","Argon-Industries","no",5,2.17312761393102
160081,"7055","med","med",500,325,"no","Argon-Industries","no",5,1.94147507705534
160082,"2224","low","high",400,375,"no","MasterAlloys","no",2,1.95640316893019
160083,"6063","high","med",500,500,"no","MasterAlloys","no",2,1.7390901856518
160084,"5052","low","med",500,300,"no","Argon-Industries","no",5,2.17360732004637
160085,"6063","high","low",500,375,"no","Argon-Industries","no",2,1.86702704144666
160086,"7075-T6","med","high",475,350,"no","L27","no",2,1.96036734645787
160087,"7055","med","low",600,475,"yes","Argon-Industries","no",2,2.11447395240459
160088,"2024-X","med","med",475,400,"no","L27","yes",2,1.87885329782319
160089,"2224","med","high",450,475,"no","Argon-Industries","no",4,2.01343699310419
160090,"2324","low","med",550,300,"no","L27","yes",2,1.96976026573955
160091,"2024-X","high","low",475,400,"no","L27","no",5,1.90319644026992
160092,"2024-T3","med","med",525,425,"yes","L27","no",2,1.80445395335062
160093,"6063","med","med",475,350,"no","L27","no",4,2.08679386732959
160094,"7475","high","high",400,500,"no","MasterAlloys","no",2,2.17936592472374
160095,"2224","high","high",550,300,"yes","Argon-Industries","no",1,1.87113960208493
160096,"6061","high","low",600,350,"no","Argon-Industries","no",2,2.25042111952721
160097,"2024-T3","med","low",400,450,"no","L27","no",2,1.766272474485
160098,"2024-X","med","low",450,300,"no","L27","no",1,1.93301419721699
160099,"2024-T3","high","high",500,350,"no","Argon-Industries","no",3,2.06363855567414
160100,"6061","med","low",600,325,"no","Argon-Industries","no",4,2.06615161317875
160101,"7068","low","high",400,425,"no","Argon-Industries","no",2,2.08118614706167
160102,"7055","med","low",600,450,"no","Argon-Industries","no",2,1.71752139240783
160103,"7068","med","low",450,375,"no","Argon-Industries","no",5,1.93604757096741
160104,"6061","high","low",550,300,"no","L27","no",2,2.19845192841528
160105,"6061","med","low",400,475,"uncertain","MasterAlloys","no",2,1.92373380607579
160106,"6061","high","high",600,350,"no","MasterAlloys","no",3,1.63541386361898
160107,"5052","low","low",500,475,"yes","Argon-Industries","no",2,1.58704405819321
160108,"7475","low","med",400,300,"no","Argon-Industries","no",4,1.89878709252943
160109,"7075-T6","high","high",600,400,"no","L27","no",4,2.0280506743662
160110,"7055","high","med",550,375,"uncertain","MasterAlloys","no",2,1.88462039393623
160111,"6063","med","med",425,425,"no","MasterAlloys","no",2,2.05259014085337
160112,"7475","high","low",525,350,"no","L27","no",4,1.98565056323855
160113,"6063","high","low",500,475,"no","L27","no",2,2.04934683356576
160114,"6063","med","med",450,350,"no","MasterAlloys","no",2,2.1099309636423
160115,"7068","low","med",475,500,"no","Argon-Industries","no",5,2.1068168344373
160116,"7055","low","low",425,500,"no","L27","no",2,2.06473476255147
160117,"7068","low","high",550,375,"no","L27","no",2,1.91296548810616
160118,"2224","med","med",400,500,"yes","Argon-Industries","no",4,1.66466633842886
160119,"7068","high","med",400,425,"uncertain","Argon-Industries","no",5,1.86389963215553
160120,"7068","med","low",500,375,"no","L27","no",3,2.20682921093504
160121,"2224","high","med",400,450,"uncertain","L27","no",5,1.81677940553842
160122,"7068","med","low",475,475,"no","Argon-Industries","yes",5,1.72967822636843
160123,"7068","low","low",450,300,"no","Argon-Industries","no",2,1.67882990168046
160124,"7475","high","low",550,350,"yes","Argon-Industries","no",5,2.06849558345412
160125,"7068","high","high",550,300,"no","MasterAlloys","no",2,1.73768723782558
160126,"5052","high","high",450,450,"uncertain","L27","no",2,2.03502783292154
160127,"2224","low","high",575,300,"no","Argon-Industries","no",2,1.92612751809453
160128,"2024-X","low","low",400,500,"no","Argon-Industries","no",5,1.97036128800018
160129,"6063","high","high",575,425,"no","L27","no",2,1.70045879173815
160130,"5052","high","low",575,350,"no","Argon-Industries","no",2,1.88888412918399
160131,"2224","low","low",575,400,"yes","MasterAlloys","no",2,1.7661925489917
160132,"2024-T3","low","high",575,500,"no","L27","no",5,1.99256887596816
160133,"6061","high","high",600,325,"no","L27","no",2,2.18735477487082
160134,"7068","high","med",550,400,"no","L27","no",2,2.12006527610828
160135,"6063","high","low",575,300,"no","MasterAlloys","no",5,1.92173540908418
160136,"7075-T6","med","low",400,475,"yes","Argon-Industries","no",5,1.94689964873178
160137,"7475","high","high",525,400,"no","L27","no",5,1.810833955744
160138,"6061","low","med",425,450,"no","Argon-Industries","no",3,1.8300022611136
160139,"7475","low","med",500,450,"no","Argon-Industries","no",2,1.99632511712095
160140,"2224","low","high",600,425,"yes","Argon-Industries","no",4,1.91250834228309
160141,"7475","high","low",425,350,"no","MasterAlloys","yes",5,1.93530768103546
160142,"7075-T6","low","med",400,475,"uncertain","Argon-Industries","no",4,1.56554763586386
160143,"7055","high","low",400,500,"no","Argon-Industries","yes",5,1.94511479360821
160144,"7055","high","low",450,350,"no","Argon-Industries","no",5,1.93269045538547
160145,"7075-T6","high","med",500,425,"no","L27","no",4,1.94159560558139
160146,"6063","med","low",450,400,"no","MasterAlloys","no",2,2.03671979238714
160147,"7055","high","low",425,425,"no","L27","no",3,1.66439096758015
160148,"7475","high","med",450,425,"no","L27","no",1,1.72559908019467
160149,"7055","high","med",525,450,"no","L27","yes",2,1.85011544278824
160150,"2224","high","low",425,500,"no","MasterAlloys","no",5,1.91055457895114
160151,"7068","high","low",525,375,"uncertain","Argon-Industries","no",2,1.74107000525935
160152,"2024-X","med","high",550,475,"uncertain","MasterAlloys","no",5,1.76019947364952
160153,"7075-T6","high","low",475,475,"yes","Argon-Industries","no",5,1.95948726031601
160154,"7055","high","high",450,375,"yes","Argon-Industries","no",3,1.93677268537419
160155,"7055","high","low",550,400,"no","Argon-Industries","no",4,2.01781451121693
160156,"7055","high","high",400,400,"yes","MasterAlloys","no",5,2.00511843837629
160157,"2024-X","med","low",525,500,"no","Argon-Industries","no",2,1.8845175222971
160158,"2024-T3","low","med",575,350,"no","L27","no",2,1.94578983639713
160159,"2024-T3","low","low",600,350,"no","MasterAlloys","no",2,1.74549563832909
160160,"2024-X","med","low",425,350,"no","Argon-Industries","no",4,2.09234015771991
160161,"7075-T6","high","low",600,425,"no","MasterAlloys","no",2,1.55754349476517
160162,"7475","low","med",600,375,"no","Argon-Industries","no",2,2.22833402260178
160163,"7055","med","low",575,500,"no","Argon-Industries","no",2,1.81389272070454
160164,"2024-X","low","low",500,325,"no","Argon-Industries","no",1,2.06895951001611
160165,"7075-T6","med","low",400,425,"no","MasterAlloys","no",2,1.92377181815574
160166,"7055","high","low",525,350,"no","L27","no",2,1.90704064002373
160167,"2224","high","low",525,400,"no","Argon-Industries","no",2,1.7612943000614
160168,"2224","high","low",475,300,"uncertain","Argon-Industries","no",2,1.91050425041687
160169,"5052","med","low",475,375,"uncertain","Argon-Industries","no",2,1.84897871898386
160170,"7075-T6","high","high",525,350,"no","MasterAlloys","no",3,2.18248562349057
160171,"7055","high","high",600,400,"yes","MasterAlloys","no",2,1.91335786600248
160172,"7075-T6","high","med",550,350,"no","L27","no",5,2.11467596701706
160173,"2024-X","med","med",600,375,"yes","Argon-Industries","no",2,1.9284382520026
160174,"7075-T6","med","med",450,500,"yes","MasterAlloys","no",5,1.82595720059351
160175,"5052","high","med",425,475,"no","L27","no",5,1.92054847393692
160176,"5052","low","med",450,350,"no","Argon-Industries","no",5,1.77298515318052
160177,"7075-T6","high","low",450,350,"no","Argon-Industries","no",2,1.92476003190881
160178,"2324","low","low",600,325,"uncertain","L27","no",2,1.90803503538046
160179,"2224","med","low",550,400,"no","Argon-Industries","no",5,1.83914386610834
160180,"2024-T3","high","high",450,400,"no","MasterAlloys","no",5,2.01346507890374
160181,"7068","low","high",475,325,"no","Argon-Industries","no",4,2.18663622098224
160182,"7068","high","med",400,300,"uncertain","Argon-Industries","no",2,1.88259303443071
160183,"7055","med","low",500,325,"yes","L27","no",5,1.90178362477048
160184,"5052","low","low",600,475,"no","L27","no",2,1.87287759910407
160185,"5052","med","med",525,325,"no","L27","no",5,1.89953490862519
160186,"2024-T3","med","high",550,425,"no","L27","no",2,2.14656889883877
160187,"7475","high","low",575,500,"no","Argon-Industries","no",4,1.82013391947385
160188,"7068","high","high",450,375,"no","L27","no",5,1.8789244220699
160189,"5052","high","low",400,425,"no","L27","no",2,1.92636028239258
160190,"2024-X","high","low",425,325,"no","MasterAlloys","no",4,1.70920134414942
160191,"7068","low","high",575,450,"no","MasterAlloys","no",3,1.98727550939606
160192,"2324","high","low",425,350,"no","Argon-Industries","no",4,2.15659140235276
160193,"6061","high","low",525,425,"uncertain","L27","no",1,2.08355648789925
160194,"7075-T6","high","low",525,500,"yes","Argon-Industries","no",5,1.9540271068334
160195,"2224","high","med",450,325,"uncertain","L27","no",5,2.13751244390286
160196,"5052","high","med",550,475,"no","L27","no",3,1.88876941464255
160197,"2324","low","high",475,450,"no","Argon-Industries","no",5,1.6953914351856
160198,"2024-X","med","med",475,375,"no","Argon-Industries","no",2,2.01670037843979
160199,"7475","high","high",600,450,"uncertain","Argon-Industries","no",2,1.98020700618248
160200,"7055","high","high",600,450,"no","Argon-Industries","no",2,1.92996603913893
160201,"2024-X","high","med",450,400,"uncertain","Argon-Industries","no",2,2.05284578727351
160202,"2024-X","high","high",400,400,"no","Argon-Industries","no",5,2.15171352790354
160203,"2024-X","high","low",500,300,"no","MasterAlloys","no",4,2.00981066233035
160204,"7075-T6","med","low",450,325,"no","L27","no",2,1.75759114480536
160205,"2024-X","med","low",425,425,"yes","MasterAlloys","no",2,1.95790104521808
160206,"7068","low","low",525,375,"no","L27","no",5,1.63885102776625
160207,"2224","med","low",600,475,"no","L27","no",2,2.07763223439987
160208,"2024-X","med","med",400,475,"no","Argon-Industries","no",2,1.85746258282088
160209,"7475","low","med",425,300,"no","Argon-Industries","no",5,2.00478631128809
160210,"7055","med","high",400,500,"no","MasterAlloys","no",5,1.92868415701393
160211,"2024-T3","high","high",525,450,"yes","L27","no",2,1.9439169710878
160212,"7055","high","high",575,450,"no","Argon-Industries","no",3,1.82718713078032
160213,"2224","med","low",550,500,"no","Argon-Industries","no",5,1.84724519988868
160214,"7068","high","med",450,400,"no","L27","no",2,1.62815207626332
160215,"5052","med","low",400,475,"no","Argon-Industries","no",2,2.10073574738401
160216,"7075-T6","med","low",400,425,"no","L27","no",2,2.05208288538474
160217,"7475","high","high",525,500,"no","Argon-Industries","no",2,1.90655427394898
160218,"6061","med","med",575,475,"no","Argon-Industries","no",2,1.78404123098765
160219,"2024-T3","low","low",525,425,"uncertain","MasterAlloys","yes",5,2.05836992939354
160220,"7075-T6","high","high",450,450,"no","Argon-Industries","no",2,1.94107886577208
160221,"6063","med","high",500,450,"no","MasterAlloys","no",3,2.00799057170536
160222,"6061","low","med",525,425,"yes","Argon-Industries","no",2,1.81764872397228
160223,"2224","high","med",600,325,"no","MasterAlloys","no",5,1.96687853220133
160224,"2224","high","med",525,400,"no","Argon-Industries","no",2,1.9834483130194
160225,"5052","high","med",475,475,"no","Argon-Industries","no",2,2.11310006771771
160226,"2224","high","high",475,375,"no","L27","no",2,1.78970697521393
160227,"7075-T6","high","low",425,325,"no","L27","no",5,1.73099355292794
160228,"2224","low","low",450,475,"no","Argon-Industries","no",2,1.73488227892549
160229,"7055","high","med",450,375,"no","Argon-Industries","no",4,2.03907704799865
160230,"7055","high","med",425,400,"no","L27","no",5,2.1026986234287
160231,"2324","high","high",450,425,"yes","L27","no",2,1.646514181775
160232,"2324","low","low",475,375,"no","Argon-Industries","no",2,1.90590723572737
160233,"2324","high","low",550,375,"no","MasterAlloys","no",2,1.75050676918447
160234,"2324","high","low",400,325,"yes","L27","no",2,1.88213136730012
160235,"2324","high","low",550,450,"no","Argon-Industries","no",2,1.77999319925927
160236,"6061","high","high",600,425,"no","Argon-Industries","no",4,1.86439587799208
160237,"6061","high","low",475,500,"no","L27","no",2,1.95120720570767
160238,"6061","high","med",475,450,"no","Argon-Industries","no",5,1.76911066428344
160239,"2224","high","low",575,500,"yes","MasterAlloys","no",4,2.04307806900136
160240,"6063","low","high",425,500,"no","L27","no",2,1.82192123395056
160241,"7075-T6","low","low",425,375,"no","MasterAlloys","no",2,2.14953349309645
160242,"2324","med","low",400,400,"no","MasterAlloys","yes",2,2.26425708712582
160243,"2324","low","low",500,300,"no","Argon-Industries","no",2,1.7220286955347
160244,"7055","med","low",575,450,"no","Argon-Industries","no",2,2.04447545970054
160245,"5052","med","high",500,350,"no","Argon-Industries","no",2,1.65340044357159
160246,"6063","high","low",475,475,"no","MasterAlloys","no",1,2.04822214909897
160247,"6061","high","low",450,350,"uncertain","Argon-Industries","no",3,1.94041182307713
160248,"7075-T6","low","med",600,325,"uncertain","L27","no",2,1.91343791641734
160249,"2024-X","high","med",600,500,"no","Argon-Industries","no",2,1.87314394209597
160250,"7068","high","low",475,325,"no","L27","no",4,1.86072357963005
160251,"6061","low","high",400,375,"no","Argon-Industries","no",2,2.100709882235
160252,"7055","med","low",575,500,"no","L27","no",3,1.86397752368869
160253,"7068","high","high",550,300,"no","Argon-Industries","no",2,1.82993083205991
160254,"2024-X","med","low",500,400,"uncertain","Argon-Industries","yes",2,2.00077260462183
160255,"2324","med","med",500,450,"yes","L27","no",5,1.89369516981998
160256,"2024-X","high","low",475,450,"no","Argon-Industries","no",2,2.02874691913573
160257,"2024-T3","low","high",525,500,"no","L27","no",2,1.85189343233805
160258,"7068","low","med",575,375,"yes","L27","no",5,1.6193304844093
160259,"2224","med","low",550,450,"no","Argon-Industries","no",2,1.98520952342196
160260,"6061","med","med",550,300,"no","L27","no",2,2.08627520411231
160261,"2324","high","high",450,325,"no","L27","no",5,1.8458546490678
160262,"7075-T6","high","med",525,375,"yes","L27","no",5,1.5404004840813
160263,"7075-T6","high","low",400,300,"no","L27","yes",2,1.50813970521394
160264,"2224","low","med",575,450,"yes","Argon-Industries","no",5,2.05557255203195
160265,"2024-X","low","med",575,325,"no","Argon-Industries","yes",5,2.15302998709959
160266,"7075-T6","high","med",450,500,"no","Argon-Industries","no",2,1.85445269717038
160267,"7055","low","low",475,475,"no","Argon-Industries","no",2,1.83628831629713
160268,"2024-X","high","med",500,325,"no","MasterAlloys","no",5,1.91869141153789
160269,"7475","med","high",525,425,"no","Argon-Industries","no",4,1.88511488466202
160270,"6061","high","med",525,400,"no","MasterAlloys","no",2,1.96851833529627
160271,"5052","high","low",500,450,"no","L27","no",4,2.16029892742342
160272,"7475","high","low",575,325,"yes","MasterAlloys","no",4,2.12875651737106
160273,"6063","med","low",450,475,"no","Argon-Industries","no",1,2.18175000108906
160274,"7068","med","high",525,500,"uncertain","Argon-Industries","yes",4,2.29622383410011
160275,"2324","high","high",475,450,"no","Argon-Industries","no",2,1.76464782887079
160276,"6063","high","low",550,300,"uncertain","Argon-Industries","no",1,2.01028735604696
160277,"7475","high","low",475,375,"uncertain","L27","no",5,1.96544347514534
160278,"2024-X","high","med",525,350,"no","Argon-Industries","no",5,2.12400994959022
160279,"2024-T3","med","high",600,400,"yes","MasterAlloys","no",3,1.79562665680255
160280,"2024-T3","high","high",600,425,"yes","MasterAlloys","no",5,1.69527107986969
160281,"6061","high","med",475,400,"uncertain","L27","no",2,1.82626539596504
160282,"2324","high","low",425,375,"no","Argon-Industries","no",5,2.11320193956411
160283,"7075-T6","high","high",450,425,"no","MasterAlloys","no",2,1.85702684959693
160284,"2024-X","low","med",400,325,"no","L27","no",4,1.88948394013332
160285,"2324","med","low",500,375,"no","Argon-Industries","no",2,1.95326532013886
160286,"7475","med","low",425,425,"yes","MasterAlloys","yes",5,1.92866121400099
160287,"7475","med","low",475,300,"yes","MasterAlloys","no",2,2.11231424996259
160288,"7075-T6","low","low",400,450,"no","MasterAlloys","no",5,2.09175275231758
160289,"7475","high","low",600,450,"yes","Argon-Industries","no",5,1.98158412243495
160290,"2324","low","low",525,450,"no","L27","no",4,1.79367900931188
160291,"7075-T6","med","high",575,300,"no","L27","no",2,1.9848675496418
160292,"2224","med","high",575,475,"no","L27","no",5,2.2187739741039
160293,"2024-T3","low","low",525,325,"no","Argon-Industries","no",2,1.68573111330737
160294,"7475","high","low",500,450,"no","Argon-Industries","no",2,2.06748708034405
160295,"7068","high","med",600,500,"no","Argon-Industries","no",2,1.92616212671028
160296,"2024-X","low","high",550,425,"no","Argon-Industries","no",2,1.69039718369325
160297,"6061","high","med",550,375,"yes","Argon-Industries","no",4,2.08139900768105
160298,"6061","high","low",450,325,"yes","Argon-Industries","no",2,2.04897284861698
160299,"2224","med","med",425,400,"no","L27","no",5,1.7652503449921
160300,"7068","low","med",600,300,"no","Argon-Industries","no",5,1.8289944443632
160301,"7075-T6","low","low",425,500,"yes","L27","no",2,2.08543666530951
160302,"5052","low","low",600,475,"no","Argon-Industries","no",5,1.9719583806432
160303,"6061","med","low",425,400,"no","MasterAlloys","no",5,1.90734474616006
160304,"2024-T3","high","high",425,375,"no","Argon-Industries","no",2,1.7765480932003
160305,"6063","med","low",550,375,"no","L27","no",2,1.98065623550489
160306,"6063","low","high",550,450,"uncertain","L27","no",5,1.89422045594317
160307,"6061","low","low",425,450,"no","Argon-Industries","yes",2,2.03232002236276
160308,"6063","high","low",525,400,"no","Argon-Industries","no",2,2.07402808571775
160309,"7475","high","low",525,325,"no","Argon-Industries","no",5,2.01400256112373
160310,"2024-T3","med","med",550,500,"no","Argon-Industries","no",2,2.07260007039264
160311,"2024-T3","med","med",550,400,"yes","L27","no",5,2.0206279841262
160312,"7068","low","low",500,450,"uncertain","MasterAlloys","no",2,1.85982502373446
160313,"2024-X","high","low",450,300,"yes","Argon-Industries","no",5,1.79298572010663
160314,"7475","med","low",575,375,"yes","Argon-Industries","no",2,1.86635279870226
160315,"5052","med","med",425,325,"no","Argon-Industries","no",2,1.99046573541149
160316,"2324","low","high",450,425,"yes","Argon-Industries","no",2,1.90492760944299
160317,"2324","high","high",550,400,"yes","L27","no",3,1.91511207243817
160318,"2324","high","low",600,375,"no","Argon-Industries","no",2,1.88588603875103
160319,"2224","low","low",450,400,"no","Argon-Industries","no",1,2.15538659043355
160320,"6063","med","med",450,475,"uncertain","MasterAlloys","no",2,1.78875747428319
160321,"6061","low","low",400,350,"yes","MasterAlloys","no",2,1.76395961994817
160322,"7055","med","low",475,475,"no","Argon-Industries","no",2,2.12841168939058
160323,"7075-T6","med","low",450,350,"no","Argon-Industries","no",2,2.11950506325053
160324,"6061","med","high",550,425,"yes","L27","no",4,2.04632215122045
160325,"2224","med","low",500,475,"no","Argon-Industries","no",3,2.02149909260875
160326,"7075-T6","high","high",575,450,"no","Argon-Industries","no",2,1.90705547123304
160327,"5052","low","low",600,400,"no","MasterAlloys","no",2,2.0247217884099
160328,"2024-X","high","med",500,375,"no","Argon-Industries","no",2,2.09117581422367
160329,"6061","high","low",400,425,"no","L27","no",5,2.00738518266467
160330,"2024-X","high","low",575,300,"no","L27","yes",5,1.5541265250756
160331,"6063","high","med",600,475,"no","L27","no",5,2.19726420616511
160332,"5052","high","med",400,350,"yes","Argon-Industries","no",2,2.11139700803614
160333,"2024-X","high","high",400,300,"no","L27","no",4,1.97332860532238
160334,"2024-X","high","med",425,500,"uncertain","L27","no",2,1.93375290258242
160335,"2224","high","high",575,475,"no","Argon-Industries","no",2,1.64326588786834
160336,"6061","med","high",550,350,"no","MasterAlloys","no",3,1.99857938189809
160337,"2324","low","low",450,350,"uncertain","Argon-Industries","no",5,1.98016210312587
160338,"2224","high","med",475,400,"uncertain","L27","no",5,2.23361602031877
160339,"2224","med","high",450,500,"no","L27","no",2,1.98310750097814
160340,"7068","high","med",600,500,"no","MasterAlloys","no",4,1.96890078893314
160341,"7068","med","low",450,500,"uncertain","L27","no",2,1.68909001947893
160342,"5052","high","low",500,375,"uncertain","L27","no",2,2.03415668020374
160343,"6063","med","med",475,300,"no","Argon-Industries","no",2,1.88480228398882
160344,"2024-X","high","low",525,325,"no","L27","no",2,2.02277126588611
160345,"2324","high","low",475,350,"no","Argon-Industries","no",2,1.76779134281074
160346,"2224","high","high",450,475,"no","L27","no",5,2.05763332191577
160347,"5052","med","high",475,425,"no","Argon-Industries","no",5,1.93714924340959
160348,"7475","med","low",550,400,"uncertain","Argon-Industries","no",4,1.69641521589133
160349,"2024-T3","high","low",425,400,"no","L27","no",1,1.73234429152946
160350,"2324","high","low",575,475,"no","MasterAlloys","no",5,2.0617157131365
160351,"6063","high","high",425,425,"yes","L27","no",2,1.82367252668207
160352,"7075-T6","high","low",550,350,"no","Argon-Industries","no",2,1.63194786313595
160353,"6063","med","low",425,350,"uncertain","Argon-Industries","no",5,1.95072862811024
160354,"7068","high","low",600,400,"no","MasterAlloys","no",4,1.9214221591999
160355,"2024-X","high","low",500,300,"no","Argon-Industries","no",4,1.86545280895897
160356,"6061","med","med",500,400,"uncertain","L27","no",2,1.56874683057008
160357,"2324","high","high",600,475,"no","L27","no",2,1.88953009538774
160358,"2224","high","low",500,450,"no","Argon-Industries","no",5,1.97898118880103
160359,"6061","med","high",525,450,"no","Argon-Industries","no",2,1.89999754986612
160360,"5052","high","low",525,425,"yes","MasterAlloys","no",2,1.80654248572863
160361,"7475","med","low",400,475,"no","Argon-Industries","no",4,1.91458602107659
160362,"7075-T6","high","low",575,475,"no","Argon-Industries","no",5,1.81707964729342
160363,"2324","med","low",500,375,"no","L27","no",2,1.89596203078763
160364,"7075-T6","high","med",550,300,"yes","Argon-Industries","no",4,1.87770654768563
160365,"2024-X","low","low",600,375,"no","MasterAlloys","no",2,2.04380064713418
160366,"2024-T3","med","low",500,300,"no","L27","no",4,1.73107317154476
