"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx","y_passXtremeDurability"
97,"2024-T3","low","low",400,500,"no","Argon-Industries","no",2,1.88078993934032,0
98,"7068","high","med",425,375,"no","Argon-Industries","no",5,2.05061510909927,0
99,"7068","med","high",500,425,"uncertain","MasterAlloys","no",2,1.87961639440336,1
100,"7068","high","med",500,425,"no","L27","no",5,2.0002450896443,1
101,"2024-X","high","med",400,425,"no","L27","no",5,2.06162857089814,1
102,"5052","high","low",500,475,"uncertain","Argon-Industries","no",4,1.96983772113116,0
103,"7055","low","high",525,300,"no","L27","no",5,2.01126339784643,1
104,"7055","high","low",500,475,"no","L27","no",5,1.77284660837341,1
105,"2024-X","high","low",575,350,"no","Argon-Industries","no",4,2.11416145729474,1
106,"7475","med","high",525,450,"no","Argon-Industries","no",2,2.08958534698051,1
107,"2324","med","high",550,475,"no","Argon-Industries","yes",2,1.97665740567951,1
108,"5052","med","high",450,425,"no","Argon-Industries","no",2,2.00880936635122,0
109,"2324","high","low",450,475,"yes","MasterAlloys","no",2,1.72880137154308,0
110,"5052","low","low",400,375,"no","Argon-Industries","no",5,1.92571569384309,0
111,"2224","low","med",450,400,"no","MasterAlloys","no",5,2.1106058648315,0
112,"7075-T6","high","med",550,475,"no","MasterAlloys","no",5,2.02269118209088,1
113,"2324","high","high",475,500,"no","L27","no",2,1.98093790310734,0
114,"2024-T3","high","high",425,300,"yes","MasterAlloys","no",2,1.88191195202353,0
115,"2024-T3","med","high",450,300,"no","L27","no",5,1.98881092650686,1
116,"5052","high","med",550,350,"uncertain","Argon-Industries","no",2,1.76768122211693,1
117,"7068","med","med",600,400,"yes","L27","no",2,1.87630131671926,1
118,"2024-T3","med","low",450,300,"uncertain","Argon-Industries","no",2,1.9331700418378,0
119,"5052","high","med",400,450,"no","Argon-Industries","no",4,2.01002390612232,0
120,"7475","med","high",475,500,"no","Argon-Industries","no",4,1.94756301726335,0
121,"6061","low","low",475,350,"no","Argon-Industries","no",5,1.99264216381243,0
122,"6063","high","high",450,325,"uncertain","Argon-Industries","no",2,1.79164901477952,0
123,"2224","high","med",450,300,"no","MasterAlloys","no",5,1.76667086932662,0
124,"7075-T6","high","med",475,450,"no","Argon-Industries","no",2,1.9235148082592,1
125,"6063","high","low",575,325,"uncertain","Argon-Industries","no",4,1.83727969780395,1
126,"2024-T3","med","high",400,400,"yes","Argon-Industries","no",2,2.03806775407024,0
127,"6063","med","med",400,450,"no","Argon-Industries","no",1,2.01624946805687,0
128,"7075-T6","low","low",450,400,"no","L27","no",2,2.05811668432351,1
129,"7068","high","low",450,475,"no","Argon-Industries","no",3,2.13680952548354,0
130,"6063","high","med",450,350,"no","Argon-Industries","no",5,2.14733899977327,0
131,"2024-X","med","high",475,450,"no","L27","no",1,1.86706401543935,1
132,"5052","med","low",475,425,"no","L27","no",2,1.80225751122253,1
133,"7068","high","low",575,375,"no","Argon-Industries","no",5,2.06619992944711,1
134,"7475","low","med",400,425,"no","L27","no",1,2.03544508099382,1
135,"2024-X","high","low",450,450,"no","Argon-Industries","no",2,1.92409536185657,0
136,"7055","high","low",550,450,"no","Argon-Industries","no",5,1.75159888055002,0
137,"2024-X","high","med",425,400,"no","L27","no",2,2.19130930111432,1
138,"2024-X","high","med",575,350,"no","Argon-Industries","no",5,2.15791427530877,1
139,"6063","high","low",400,425,"no","Argon-Industries","no",2,2.27182195746809,1
140,"7075-T6","high","med",600,475,"no","Argon-Industries","no",5,1.74952037676154,0
141,"2324","high","low",425,375,"no","Argon-Industries","no",5,1.85708302451245,0
142,"7075-T6","med","low",525,350,"no","Argon-Industries","no",2,2.00340167350035,1
143,"5052","high","med",600,350,"no","Argon-Industries","no",2,1.97666216784564,1
144,"7475","high","low",400,500,"yes","Argon-Industries","no",2,2.11631304461722,0
145,"2024-X","high","high",425,400,"no","Argon-Industries","no",5,1.89014556489765,0
146,"6061","low","med",450,300,"no","Argon-Industries","no",5,2.10159372474604,0
147,"6061","high","low",450,425,"no","L27","no",5,1.78536561047296,0
148,"2024-T3","low","med",400,350,"no","Argon-Industries","no",5,1.92511898945451,0
149,"5052","low","low",475,450,"no","L27","no",2,1.83678925761826,1
150,"2324","med","low",450,425,"no","Argon-Industries","no",5,2.01721666866563,0
151,"2324","med","med",475,400,"no","L27","no",2,1.98669833811042,1
152,"7055","high","high",525,350,"uncertain","MasterAlloys","no",2,2.02342980703852,0
153,"7068","med","high",575,450,"no","MasterAlloys","no",5,1.96412506605409,0
154,"7068","high","med",600,475,"no","Argon-Industries","no",5,2.08720029474786,0
155,"2024-X","low","med",475,475,"no","Argon-Industries","no",4,1.75853621209995,0
156,"2224","high","high",550,425,"yes","L27","no",4,1.73912967489646,1
157,"7075-T6","med","high",475,500,"yes","Argon-Industries","no",5,1.86298239135528,0
158,"2024-X","high","low",575,350,"no","MasterAlloys","no",2,1.94520504420634,1
159,"2024-T3","high","low",475,325,"no","L27","no",2,1.85181041603909,1
160,"7068","high","high",550,425,"yes","MasterAlloys","no",2,2.12384849358802,1
161,"2024-X","high","low",475,425,"yes","Argon-Industries","no",4,1.95507390669598,0
162,"6061","med","low",425,475,"no","L27","no",2,2.00821947697283,1
163,"7475","high","high",575,500,"no","Argon-Industries","no",5,1.70676016396863,0
164,"6063","med","high",450,375,"no","L27","no",2,1.6324592224767,1
165,"2024-X","med","low",550,500,"no","Argon-Industries","no",2,2.07679689280053,0
166,"7068","med","low",550,400,"no","Argon-Industries","no",2,1.73107004676229,1
167,"7055","med","low",425,500,"no","L27","no",2,1.80234213792345,1
168,"2224","low","med",475,325,"uncertain","Argon-Industries","no",1,1.55373009624192,0
169,"7055","low","low",425,500,"no","MasterAlloys","no",2,1.82532752669781,0
170,"2024-X","low","high",575,475,"yes","L27","no",5,1.91398080659534,1
171,"2324","low","low",500,325,"no","Argon-Industries","no",2,2.24112625866506,1
172,"6061","low","low",475,400,"no","Argon-Industries","no",5,1.96540304194294,0
173,"2324","high","low",550,450,"no","L27","no",2,1.90893415346916,1
174,"5052","med","high",450,325,"no","Argon-Industries","no",2,1.90377869894019,1
175,"6061","high","high",450,400,"no","Argon-Industries","yes",2,1.64895964891943,0
176,"7055","med","low",525,475,"no","Argon-Industries","no",5,2.14472324378352,0
177,"7475","med","high",600,500,"no","Argon-Industries","no",2,1.91472916871579,1
178,"6063","med","low",450,325,"no","L27","no",2,2.27414352011612,1
179,"2224","high","high",600,325,"no","MasterAlloys","no",5,1.78176734847747,1
180,"2024-T3","low","low",575,400,"no","L27","no",5,1.93810624130815,1
181,"2024-X","med","low",525,400,"uncertain","Argon-Industries","no",3,1.84137665641911,1
182,"6063","med","low",425,425,"no","L27","no",4,1.92515797798028,1
183,"2024-T3","high","low",575,500,"no","L27","no",5,2.04539853759757,1
184,"2224","high","low",575,450,"no","MasterAlloys","no",2,1.89766095226165,1
185,"6063","high","high",475,425,"no","Argon-Industries","no",2,1.74195166187413,1
186,"2024-T3","low","low",475,300,"no","MasterAlloys","no",2,2.01281372294604,1
187,"2224","low","low",500,500,"no","Argon-Industries","no",2,1.97068341485394,0
188,"5052","med","high",550,450,"yes","L27","no",5,2.0149461707168,0
189,"7475","med","med",475,300,"no","Argon-Industries","no",2,2.07037702203076,0
190,"2024-T3","med","low",500,400,"no","L27","no",5,1.7357159603717,1
191,"7075-T6","high","med",550,350,"uncertain","Argon-Industries","no",5,2.01014472481733,0
192,"7475","high","low",575,500,"no","Argon-Industries","no",2,2.03532668365144,0
193,"7068","med","high",525,450,"no","Argon-Industries","no",2,1.36316443458678,1
194,"6063","med","med",600,350,"no","L27","no",2,2.03682258889927,1
195,"2024-T3","med","low",600,400,"no","L27","yes",5,2.05302344090558,1
196,"6061","low","low",600,300,"no","Argon-Industries","no",4,1.77796846123371,0
197,"2224","low","low",500,500,"no","Argon-Industries","no",2,1.92144287276822,0
198,"7475","high","high",475,325,"yes","Argon-Industries","no",2,1.8905481913751,1
199,"2024-X","low","low",500,500,"uncertain","Argon-Industries","no",2,1.82884016098319,0
200,"7475","low","high",575,400,"no","L27","no",2,1.87106703392169,1
201,"6063","med","med",425,475,"no","Argon-Industries","no",5,1.93936545188945,0
202,"2324","high","med",500,375,"yes","Argon-Industries","no",3,2.14611423837275,0
203,"2024-T3","low","low",550,325,"no","Argon-Industries","no",2,1.92836422787779,1
204,"7068","high","low",400,300,"uncertain","L27","no",2,1.9058107289447,0
205,"2024-X","high","high",500,325,"no","L27","no",2,1.8349477815579,1
206,"6063","high","low",425,500,"no","Argon-Industries","no",2,1.77968507100842,0
207,"5052","med","high",400,450,"no","Argon-Industries","no",2,2.0444541549915,0
208,"2324","high","low",450,350,"no","MasterAlloys","no",2,1.84057194205897,0
209,"2024-T3","med","high",500,350,"uncertain","Argon-Industries","no",2,1.96476389915426,0
210,"6061","med","high",475,400,"no","Argon-Industries","yes",2,1.79349671809179,0
211,"7075-T6","high","high",550,450,"no","L27","no",2,2.04247248795116,1
212,"2224","high","high",550,450,"no","Argon-Industries","no",1,1.74181348015423,1
213,"6061","high","med",450,400,"yes","L27","no",5,2.18620551084518,0
214,"6061","high","med",525,500,"no","MasterAlloys","no",2,2.08456653508037,1
215,"2024-T3","med","med",400,425,"yes","MasterAlloys","no",2,2.16467786533096,1
216,"7075-T6","high","high",425,500,"no","Argon-Industries","no",5,1.87082818279245,0
217,"2324","high","med",600,475,"no","MasterAlloys","no",5,2.0442105830623,0
218,"6061","high","med",600,350,"uncertain","Argon-Industries","no",4,2.13555359078673,0
219,"7475","high","high",600,375,"no","L27","no",2,1.64209131936382,1
220,"2024-X","low","low",525,450,"no","L27","no",4,2.0547670470653,1
221,"7075-T6","high","med",400,325,"no","Argon-Industries","no",5,1.82951582422915,0
222,"2224","med","low",500,450,"no","Argon-Industries","no",5,1.91139529650902,0
223,"7068","high","low",475,450,"yes","L27","no",2,2.06463369515643,1
224,"7475","low","med",400,450,"no","MasterAlloys","no",1,1.6795691569047,0
225,"6061","med","low",425,475,"no","Argon-Industries","no",2,2.03381375805509,1
226,"7075-T6","med","med",425,300,"no","Argon-Industries","no",2,2.10775038788597,0
227,"6063","high","low",475,500,"no","Argon-Industries","yes",4,1.9654515309452,0
228,"2024-X","med","low",525,350,"uncertain","MasterAlloys","no",5,1.71237039018919,0
229,"6063","high","low",475,425,"no","Argon-Industries","yes",5,2.13539003542599,0
230,"7475","low","low",400,300,"uncertain","L27","no",2,2.03928245033072,0
231,"2024-X","high","low",525,475,"no","Argon-Industries","no",5,1.97940596191958,0
232,"7068","low","low",450,400,"uncertain","MasterAlloys","no",2,2.10998226086728,0
233,"2224","high","high",575,425,"no","Argon-Industries","no",2,2.17395348573135,1
234,"6061","med","high",450,400,"no","Argon-Industries","no",5,1.82928009913831,0
235,"7475","high","low",600,400,"yes","Argon-Industries","no",2,1.92281141597516,0
236,"2224","high","low",425,500,"no","Argon-Industries","no",2,2.0814331424936,0
237,"2024-X","high","low",500,425,"no","L27","no",4,2.00931713220101,1
238,"5052","high","med",450,300,"no","MasterAlloys","no",2,2.00687658545806,1
239,"7075-T6","med","med",400,500,"no","L27","no",5,1.95847433958587,0
240,"7075-T6","high","med",400,425,"no","L27","no",2,2.19919360553357,0
241,"6061","med","low",500,350,"no","MasterAlloys","no",2,1.81505064167153,1
242,"2024-X","high","low",475,500,"no","L27","no",2,2.3238844423765,0
243,"7068","low","high",550,300,"yes","Argon-Industries","no",2,1.98337556560813,0
244,"5052","high","med",400,425,"no","MasterAlloys","no",2,2.0038820840157,0
245,"2224","med","med",425,425,"no","L27","no",5,1.92846335692789,0
246,"6063","high","med",525,450,"no","L27","no",2,1.79338337441373,1
247,"2224","med","high",600,450,"no","Argon-Industries","no",2,1.9412631642486,0
248,"7055","high","low",600,300,"yes","Argon-Industries","no",2,1.90758748478357,0
249,"5052","low","low",550,400,"no","Argon-Industries","no",2,2.101713216462,1
250,"2324","low","low",575,425,"yes","MasterAlloys","no",5,1.84831816494434,0
251,"2024-X","med","med",600,500,"uncertain","Argon-Industries","no",5,1.93063022547293,0
252,"7055","high","high",575,450,"no","L27","no",2,1.90776530231019,1
253,"2324","med","high",600,500,"no","L27","no",2,1.88507644123283,1
254,"5052","low","med",575,300,"no","Argon-Industries","yes",2,2.11886321551555,1
255,"2324","low","low",550,300,"no","L27","no",2,2.08310265979265,1
256,"7068","med","high",425,475,"no","Argon-Industries","no",5,1.89386282948328,0
257,"7075-T6","high","high",575,400,"no","L27","no",5,1.94994488563285,1
258,"6063","high","low",525,475,"no","Argon-Industries","yes",2,2.05750901317235,1
259,"7475","high","low",575,350,"no","Argon-Industries","no",3,1.77896836905617,1
260,"5052","high","high",525,500,"no","Argon-Industries","no",3,1.94271215399016,1
261,"6061","med","low",575,325,"no","MasterAlloys","no",2,1.95324456746195,1
262,"7475","low","low",400,450,"no","Argon-Industries","no",2,2.1149026860993,1
263,"2224","low","low",425,475,"no","Argon-Industries","no",2,1.80395392874617,0
264,"6063","high","low",600,425,"no","Argon-Industries","no",2,1.86179663775662,1
265,"2324","high","high",575,450,"no","MasterAlloys","no",2,1.99867930523215,1
266,"7055","med","low",450,425,"no","Argon-Industries","no",2,1.18788441107106,0
267,"7055","high","high",550,350,"no","Argon-Industries","no",1,2.11312331932254,1
268,"7075-T6","high","high",450,500,"yes","Argon-Industries","no",2,2.20207221187888,0
269,"6063","high","low",575,450,"uncertain","Argon-Industries","no",2,2.01640240163538,1
270,"5052","high","low",400,475,"no","L27","no",2,2.20221031915612,0
271,"2324","high","low",500,400,"no","MasterAlloys","no",5,2.00513573950481,0
272,"2024-T3","low","med",525,500,"no","MasterAlloys","no",3,1.87567429457161,0
273,"2324","low","low",575,425,"no","MasterAlloys","no",2,2.22759280007929,1
274,"7475","med","low",575,350,"no","L27","no",2,1.97050603292697,1
275,"2324","high","high",400,400,"no","L27","no",5,1.77910187410391,1
276,"2224","high","med",425,350,"no","L27","no",2,1.65305184617776,0
277,"7075-T6","high","high",500,300,"no","L27","no",3,2.13525208902783,1
278,"7475","high","low",550,300,"no","MasterAlloys","no",5,2.06576628668758,1
279,"7475","high","low",400,400,"no","Argon-Industries","no",5,2.18268843747041,0
280,"2024-X","high","low",400,500,"yes","Argon-Industries","no",4,1.78264081018658,0
281,"6061","high","high",425,425,"no","Argon-Industries","no",2,1.89254786271529,0
282,"7075-T6","low","med",575,375,"no","L27","no",5,2.06414029507775,0
283,"2324","med","low",575,400,"no","Argon-Industries","no",2,1.60667434576992,1
284,"6061","high","low",500,350,"no","Argon-Industries","no",2,1.9086632151421,1
285,"7475","high","low",425,375,"no","L27","no",2,1.94020886189461,1
286,"2224","low","high",600,475,"no","L27","no",3,1.58373690759028,1
287,"7068","med","high",425,450,"uncertain","MasterAlloys","no",4,2.16865542112534,0
288,"7055","med","low",525,450,"no","Argon-Industries","no",2,1.70736269789462,1
289,"2024-X","high","med",475,400,"no","Argon-Industries","no",4,1.97613507343106,0
290,"2024-X","high","low",450,375,"no","Argon-Industries","no",2,1.85933164049079,0
291,"6061","high","low",450,500,"uncertain","MasterAlloys","no",1,1.84958675554189,0
292,"7068","high","low",400,375,"no","L27","yes",2,1.76353045178876,1
293,"5052","high","low",475,375,"no","L27","no",2,1.85247518452722,1
294,"5052","high","med",425,375,"no","L27","no",3,1.82484106627331,1
295,"7075-T6","low","low",575,325,"no","L27","no",2,1.8470067404651,1
296,"6061","med","low",500,350,"no","Argon-Industries","no",2,1.64185060951436,0
297,"7075-T6","low","high",475,425,"no","Argon-Industries","no",2,2.00977522509658,1
298,"7475","high","med",400,400,"no","MasterAlloys","no",2,1.9888784172034,0
299,"2224","med","high",500,300,"no","MasterAlloys","no",2,2.13864997785032,0
300,"5052","high","low",500,325,"no","Argon-Industries","no",4,2.174706020256,1
301,"6061","med","high",500,400,"no","Argon-Industries","no",3,1.95613875144496,0
302,"6063","med","med",600,325,"no","L27","no",2,2.07692613952473,1
303,"7068","low","low",500,325,"no","Argon-Industries","no",2,1.75563466370077,1
304,"6063","med","high",450,425,"no","Argon-Industries","no",2,2.11672515011149,0
305,"5052","low","low",475,325,"no","L27","no",2,1.78597320710269,1
306,"2324","high","high",600,375,"no","Argon-Industries","no",2,1.74989554376268,0
307,"6063","low","high",400,400,"no","Argon-Industries","no",5,2.14735622691761,0
308,"5052","high","med",400,450,"no","L27","no",5,2.00820024900579,0
309,"6061","high","low",525,425,"no","Argon-Industries","no",2,2.04728354670466,1
310,"2224","high","low",475,450,"no","Argon-Industries","no",5,2.04538836045928,1
311,"7068","high","high",600,475,"yes","Argon-Industries","no",5,1.74954913872366,0
312,"2024-T3","high","high",525,475,"no","Argon-Industries","no",2,2.0927394810254,1
313,"7068","med","med",450,325,"no","L27","no",5,1.89146958484377,0
314,"6063","high","high",575,400,"yes","L27","no",2,2.11739714516523,1
315,"2324","med","med",425,400,"no","Argon-Industries","no",2,1.94182258621571,0
316,"7075-T6","med","low",600,350,"no","Argon-Industries","no",5,1.82523238626116,1
317,"2324","high","high",575,375,"no","L27","no",2,1.99927567661295,1
318,"7475","low","med",550,400,"yes","L27","no",4,1.81838123874845,1
319,"2224","med","high",550,450,"yes","Argon-Industries","no",2,1.89384237327912,1
320,"7055","high","med",425,500,"yes","MasterAlloys","no",2,2.01925647746952,0
321,"5052","high","low",475,475,"no","L27","no",5,2.02640065225006,0
322,"7075-T6","high","low",550,425,"no","MasterAlloys","yes",5,1.85037487582294,0
323,"7055","med","low",425,450,"no","L27","no",2,1.96595165748676,1
324,"7075-T6","low","high",425,300,"no","MasterAlloys","no",4,2.00767572054771,0
325,"2024-T3","high","low",525,325,"no","L27","no",3,1.7027419781127,1
326,"2024-X","med","high",600,475,"uncertain","MasterAlloys","no",5,2.09597073973857,0
327,"7475","high","med",575,475,"uncertain","Argon-Industries","no",2,2.09518805488746,0
328,"7068","high","high",550,450,"no","Argon-Industries","no",2,2.01684264434878,1
329,"2024-X","high","high",575,325,"no","Argon-Industries","yes",5,2.06793055601237,0
330,"7068","med","med",575,475,"no","Argon-Industries","no",5,1.90977036781429,0
331,"2024-T3","high","med",600,425,"no","Argon-Industries","no",4,1.95135571594349,0
332,"2324","high","high",400,475,"no","Argon-Industries","no",5,2.16383618641904,0
333,"7475","med","low",600,325,"no","MasterAlloys","no",2,1.91140219429567,1
334,"6063","high","high",575,375,"no","MasterAlloys","no",2,1.94149935954353,1
335,"6061","high","low",575,325,"yes","Argon-Industries","no",5,1.92508109401927,0
336,"2024-T3","high","high",550,375,"no","Argon-Industries","no",2,1.98207195901093,1
337,"7475","high","med",575,325,"no","Argon-Industries","no",2,2.09504488883125,1
338,"2024-T3","high","high",450,425,"no","L27","no",2,1.78636665515577,1
339,"2024-X","low","high",475,325,"no","Argon-Industries","no",2,1.83615174355774,1
340,"7075-T6","med","med",400,425,"no","MasterAlloys","no",4,1.65829709652931,0
341,"7068","low","high",600,425,"no","L27","yes",4,1.76141121295323,0
342,"2024-X","med","med",450,375,"uncertain","L27","no",2,1.87445200605912,0
343,"7055","high","high",575,300,"no","L27","no",2,2.27299868203977,1
344,"6063","high","low",425,350,"uncertain","L27","no",5,1.99828618556355,0
345,"2324","high","high",550,450,"no","MasterAlloys","no",4,1.97550275934505,1
346,"5052","low","med",400,300,"yes","MasterAlloys","no",2,2.0730177890807,0
347,"2224","med","low",600,500,"no","Argon-Industries","no",5,2.03503189967338,0
348,"6061","high","low",600,475,"no","Argon-Industries","no",2,1.87265300658192,0
349,"7055","low","low",550,350,"no","Argon-Industries","no",2,2.12903732557939,1
350,"2024-T3","med","high",475,425,"no","Argon-Industries","no",2,1.67225548047803,0
351,"5052","low","low",400,475,"no","Argon-Industries","no",3,2.05328427611288,0
352,"2024-T3","high","med",450,375,"no","Argon-Industries","no",2,1.8719129393535,0
353,"7075-T6","high","low",575,450,"no","Argon-Industries","no",4,1.83330179070237,1
354,"2024-X","high","high",500,375,"yes","Argon-Industries","no",5,1.96880155548117,0
355,"2324","high","high",450,400,"no","L27","no",2,1.87758882698731,1
356,"7475","high","low",450,450,"uncertain","Argon-Industries","no",4,1.8298651443712,0
